Date,Open,High,Low,Close / Last,Volume,,,,,,,,
02/13/2018,161.95 ,164.75 ,161.65 ,164.34 ,32483310.00 ,,,,,,,,
02/12/2018,158.50 ,163.89 ,157.51 ,162.71 ,60774900.00 ,,,,,,,,
02/09/2018,157.07 ,157.89 ,150.24 ,156.41 ,70583530.00 ,,,,,,,,
02/08/2018,160.29 ,161.00 ,155.03 ,155.15 ,54145930.00 ,,,,,,,,
02/07/2018,163.09 ,163.40 ,159.07 ,159.54 ,51467440.00 ,,,,,,,,
02/06/2018,154.83 ,163.72 ,154.00 ,163.03 ,68171940.00 ,,,,,,,,
02/05/2018,159.10 ,163.88 ,156.00 ,156.49 ,72215320.00 ,,,,,,,,
02/02/2018,166.00 ,166.80 ,160.10 ,160.50 ,85957050.00 ,,,,,,,,
02/01/2018,167.17 ,168.62 ,166.76 ,167.78 ,44453230.00 ,,,,,,,,
01/31/2018,166.87 ,168.44 ,166.50 ,167.43 ,32234520.00 ,,,,,,,,
01/30/2018,165.53 ,167.37 ,164.70 ,166.97 ,45635470.00 ,,,,,,,,
01/29/2018,170.16 ,170.16 ,167.07 ,167.96 ,50565420.00 ,,,,,,,,
01/26/2018,172.00 ,172.00 ,170.06 ,171.51 ,39075250.00 ,,,,,,,,
01/25/2018,174.51 ,174.95 ,170.53 ,171.11 ,41438280.00 ,,,,,,,,
01/24/2018,177.25 ,177.30 ,173.20 ,174.22 ,51368540.00 ,,,,,,,,
01/23/2018,177.30 ,179.44 ,176.82 ,177.04 ,32395870.00 ,,,,,,,,
01/22/2018,177.30 ,177.78 ,176.60 ,177.00 ,27052000.00 ,,,,,,,,
01/19/2018,178.61 ,179.58 ,177.41 ,178.46 ,31306390.00 ,,,,,,,,
01/18/2018,179.37 ,180.10 ,178.25 ,179.26 ,31087330.00 ,,,,,,,,
01/17/2018,176.15 ,179.25 ,175.07 ,179.10 ,34260230.00 ,,,,,,,,
01/16/2018,177.90 ,179.39 ,176.14 ,176.19 ,29512410.00 ,,,,,,,,
01/12/2018,176.18 ,177.36 ,175.65 ,177.09 ,25302200.00 ,,,,,,,,
01/11/2018,174.59 ,175.49 ,174.49 ,175.28 ,18653380.00 ,,,,,,,,
01/10/2018,173.16 ,174.30 ,173.00 ,174.29 ,23751690.00 ,,,,,,,,
01/09/2018,174.55 ,175.06 ,173.41 ,174.33 ,21532200.00 ,,,,,,,,
01/08/2018,174.35 ,175.61 ,173.93 ,174.35 ,20523870.00 ,,,,,,,,
01/05/2018,173.44 ,175.37 ,173.05 ,175.00 ,23589930.00 ,,,,,,,,
01/04/2018,172.54 ,173.47 ,172.08 ,173.03 ,22342650.00 ,,,,,,,,
01/03/2018,172.53 ,174.55 ,171.96 ,172.23 ,29461040.00 ,,,,,,,,
01/02/2018,170.16 ,172.30 ,169.26 ,172.26 ,25400540.00 ,,,,,,,,
12/29/2017,170.52 ,170.59 ,169.22 ,169.23 ,25938760.00 ,,,,,,,,
12/28/2017,171.00 ,171.85 ,170.48 ,171.08 ,16412270.00 ,,,,,,,,
12/27/2017,170.10 ,170.78 ,169.71 ,170.60 ,21477380.00 ,,,,,,,,
12/26/2017,170.80 ,171.47 ,169.68 ,170.57 ,33113340.00 ,,,,,,,,
12/22/2017,174.68 ,175.42 ,174.50 ,175.01 ,16339690.00 ,,,,,,,,
